sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
麥寮,雲林縣,18,,良好,1.5,0.18,7.5,10.4,24,8,7.2,9.4,2.2,2.2,196,"2024/06/24 06:00:00",0.1,5.5,18,1,120.251825,23.753506,83
富貴角,新北市,19,,良好,0.3,0.1,19.2,20.9,14,3,3.2,3.5,0.3,1.4,225,"2024/06/24 06:00:00",0.1,4.1,13,0,121.53656894,25.29681695,84
大城,彰化縣,18,,良好,0.9,0.13,9.3,8.9,20,8,5.7,8.1,2.4,3,200,"2024/06/24 06:00:00",0,4.2,18,1,120.26964167,23.85493056,85
彰化（員林）,彰化縣,21,,良好,1.5,0.09,14.5,16,10,5,3.1,4.8,1.7,0.7,114,"2024/06/24 06:00:00",0,6.5,14,1,120.56373,23.96117,201
高雄（湖內）,高雄市,16,,良好,0.1,0.19,6.8,8.6,16,6,6.3,7.4,1.1,0.9,147,"2024/06/24 06:00:00",0.1,5,14,0,120.24535,22.87985556,202
臺南（麻豆）,臺南市,19,,良好,0,0.13,10.8,8.7,17,5,3.4,3.8,0.3,0.2,134,"2024/06/24 06:00:00",0.1,6,15,0,120.24583056,23.17904722,203
屏東（琉球）,屏東縣,21,,良好,0.8,0.03,22.1,19.3,15,9,1.2,2.1,0.9,0.6,39,"2024/06/24 06:00:00",0,6.5,9,0,120.37722,22.35222,204
新北(樹林),新北市,30,,良好,0.4,0.2,3,5.7,33,8,6.6,16.5,9.9,0,109,"2024/06/24 06:00:00",0.1,9.1,27,0,121.38352778,24.94902778,311
大甲（日南國小）,臺中市,13,,良好,0.3,0.19,6.5,11.7,10,3,8.1,10.6,2.5,1.1,84,"2024/06/24 06:00:00",0.1,2.5,10,0,120.65525382,24.39017512,312
屏東(枋山),屏東縣,13,,良好,0.3,0.01,,12.8,12,0,1.9,2.2,0.2,3.4,93,"2024/06/24 06:00:00",0,1.2,13,0,120.651472,22.260899,313
